seq_id	sample	nread
LPASA1190-22	G4FG95	34
LPASA1191-22	G4FG95	25
LPASA1192-22	G4FG95	29
LPASA1193-22	G4FG95	33
LPASA1194-22	G4FG95	33
LPASA1195-22	G4FG95	30
LPASA1196-22	G4FG95	22
LPASA1197-22	G4FG95	27
LPASA1198-22	G4FG95	30
LPASA1199-22	G4FG95	21
LPASA1200-22	G4FG95	23
LPASA1201-22	G4FG95	16
LPASA1202-22	G4FG95	24
LPASA1203-22	G4FG95	22
LPASA1204-22	G4FG95	31
LPASA1205-22	G4FG95	32
LPASA1206-22	G4FG95	37
LPASA1207-22	G4FG95	42
LPASA1208-22	G4FG95	22
LPASA1209-22	G4FG95	34
LPASA1210-22	G4FG95	27
LPASA1211-22	G4FG95	33
LPASA1212-22	G4FG95	26
LPASA1213-22	G4FG95	32
LPASA1214-22	G4FG95	20
LPASA1215-22	G4FG95	40
LPASA1216-22	G4FG95	36
LPASA1217-22	G4FG95	27
LPASA1218-22	G4FG95	40
LPASA1219-22	G4FG95	27
LPASA1220-22	G4FG95	22
LPASA1221-22	G4FG95	27
LPASA1222-22	G4FG95	18
LPASA1223-22	G4FG95	21
LPASA1224-22	G4FG95	29
LPASA1225-22	G4FG95	20
LPASA1226-22	G4FG95	34
LPASA1227-22	G4FG95	27
LPASA1228-22	G4FG95	35
LPASA1229-22	G4FG95	12
LPASA1230-22	G4FG95	25
LPASA1231-22	G4FG95	21
LPASA1232-22	G4FG95	25
LPASA1233-22	G4FG95	36
LPASA1234-22	G4FG95	25
LPASA1235-22	G4FG95	19
LPASA1236-22	G4FG95	32
LPASA1237-22	G4FG95	19
LPASA1238-22	G4FG95	29
LPASA1239-22	G4FG95	23
LPASA1240-22	G4FG95	33
LPASA1241-22	G4FG95	22
LPASA1242-22	G4FG95	38
LPASA1243-22	G4FG95	24
LPASA1244-22	G4FG95	31
LPASA1245-22	G4FG95	29
LPASA1246-22	G4FG95	26
LPASA1247-22	G4FG95	28
LPASA1248-22	G4FG95	28
LPASA1249-22	G4FG95	24
LPASA1250-22	G4FG95	22
LPASA1251-22	G4FG95	27
LPASA1252-22	G4FG95	25
LPASA1253-22	G4FG95	37
LPASA1254-22	G4FG95	26
LPASA1255-22	G4FG95	18
LPASA1256-22	G4FG95	31
LPASA1257-22	G4FG95	38
LPASA1258-22	G4FG95	30
LPASA1259-22	G4FG95	31
LPASA1260-22	G4FG95	28
LPASA1261-22	G4FG95	32
LPASA1262-22	G4FG95	33
LPASA1263-22	G4FG95	39
LPASA1264-22	G4FG95	23
LPASA1265-22	G4FG95	41
LPASA1267-22	G4FG95	27
LPASA1268-22	G4FG95	21
LPASA1269-22	G4FG95	22
LPASA1270-22	G4FG95	27
LPASA1271-22	G4FG95	35
LPASA1272-22	G4FG95	32
LPASA1273-22	G4FG95	27
LPASA1274-22	G4FG95	23
LPASA1275-22	G4FG95	29
LPASA1276-22	G4FG95	30
LPASA1277-22	G4FG95	18
LPASA1278-22	G4FG95	30
LPASA1279-22	G4FG95	27
LPASA1280-22	G4FG95	24
LPASA1281-22	G4FG95	32
LPASA1282-22	G4FG95	28
LPASA1283-22	G4FG95	25
LPASA1284-22	G4FG95	21
LPASA1285-22	G4FG95	23
LPASA1286-22	G4FG95	20
LPASA1287-22	G4FG95	25
LPASA1288-22	G4FG95	16
LPASA1289-22	G4FG95	34
LPASA1290-22	G4FG95	30
LPASA1291-22	G4FG95	35
LPASA1292-22	G4FG95	27
LPASA1293-22	G4FG95	21
LPASA1294-22	G4FG95	33
LPASA1295-22	G4FG95	30
LPASA1296-22	G4FG95	38
LPASA1297-22	G4FG95	27
LPASA1298-22	G4FG95	22
LPASA1299-22	G4FG95	25
LPASA1300-22	G4FG95	35
LPASA1301-22	G4FG95	32
LPASA1302-22	G4FG95	26
LPASA1303-22	G4FG95	35
LPASA1304-22	G4FG95	25
LPASA1305-22	G4FG95	28
LPASA1306-22	G4FG95	32
LPASA1307-22	G4FG95	28
LPASA1308-22	G4FG95	24
LPASA1309-22	G4FG95	24
LPASA1310-22	G4FG95	21
LPASA1311-22	G4FG95	21
LPASA1312-22	G4FG95	21
LPASA1313-22	G4FG95	32
