seqrun	sample	neg_control	cut_R2	fastq_R1	fastq_R2
BIONAME_LifePlan_batch1_2023_L002	SKM41G_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKM41G_S1612_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKM41G_S1612_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKSNR3_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKSNR3_S2572_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKSNR3_S2572_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKSPGL_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKSPGL_S2670_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKSPGL_S2670_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKTLO7_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKTLO7_S2535_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKTLO7_S2535_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKUYYA_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKUYYA_S2165_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKUYYA_S2165_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKWLDP_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKWLDP_S1885_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKWLDP_S1885_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKWUBL_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKWUBL_S1767_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKWUBL_S1767_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SKYJUO_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKYJUO_S1947_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SKYJUO_S1947_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL1W9F_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL1W9F_S2577_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL1W9F_S2577_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL28TW_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL28TW_S2668_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL28TW_S2668_L002_R2_001.fastq.gz
